
2026/03/03 (13:21:03) | ===> btop++ v.1.4.6
2026/03/03 (13:21:03) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (13:22:00) | ===> btop++ v.1.4.6
2026/03/03 (13:22:00) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (17:05:27) | ===> btop++ v.1.4.6
2026/03/03 (17:05:27) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (17:05:52) | ===> btop++ v.1.4.6
2026/03/03 (17:05:52) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (17:06:06) | ===> btop++ v.1.4.6
2026/03/03 (17:06:06) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (17:08:35) | ===> btop++ v.1.4.6
2026/03/03 (17:08:35) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (17:22:32) | ===> btop++ v.1.4.6
2026/03/03 (17:22:32) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (17:30:57) | ===> btop++ v.1.4.6
2026/03/03 (17:30:57) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (17:33:42) | ===> btop++ v.1.4.6
2026/03/03 (17:33:42) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (18:12:32) | ===> btop++ v.1.4.6
2026/03/03 (18:12:32) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (21:44:33) | ===> btop++ v.1.4.6
2026/03/03 (21:44:33) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (21:47:01) | ===> btop++ v.1.4.6
2026/03/03 (21:47:01) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (21:55:22) | ===> btop++ v.1.4.6
2026/03/03 (21:55:22) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (21:55:44) | ===> btop++ v.1.4.6
2026/03/03 (21:55:44) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (21:56:03) | ===> btop++ v.1.4.6
2026/03/03 (21:56:03) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/03 (21:56:26) | ===> btop++ v.1.4.6
